CODE;NAME
010101;Sleeping
010102;Sleeplessness
010199;Sleeping, n.e.c.
0101;Sleeping
010201;Washing, dressing and grooming oneself
010299;Grooming, n.e.c.
0102;Grooming
010301;Health-related self care
010399;Self care, n.e.c.
0103;Health-related self care
010401;Personal/Private activities
010499;Personal activities, n.e.c.
0104;Personal Activities
010501;Personal emergencies
010599;Personal care emergencies, n.e.c.
0105;Personal Care Emergencies
019999;Personal care, n.e.c.
0199;Personal care, n.e.c.
01;Personal Care Activities
020101;Interior cleaning
020102;Laundry
020103;Sewing, repairing, & maintaining textiles
020104;Storing interior HH items, including food
020199;Housework, n.e.c.
0201;Housework
020201;Food and drink preparation
020202;Food presentation
020203;Kitchen and food clean-up
020299;Food & drink prep, presentation, & clean-up, n.e.c.
0202;Food & Drink Preparation, Presentation, & Clean-up
020301;Interior arrangement, decoration, & repairs
020302;Building and repairing furniture
020303;Heating and cooling
020399;Interior maintenance, repair, & decoration, n.e.c.
0203;Interior Maintenance, Repair & Decoration
020401;Exterior cleaning
020402;Exterior repair, improvements, & decoration
020499;Exterior maintenance, repair & decoration, n.e.c.
0204;Exterior Maintenance, Repair & Decoration
020501;Lawn, garden, and houseplant care
020502;Ponds, pools, and hot tubs
020599;Lawn and garden, n.e.c.
0205;Lawn, Garden, and Houseplants
020681;Care for animals and pets (not veterinary care)
020699;Pet and animal care, n.e.c.
0206;Animals and Pets
020701;Vehicle repair and maintenance (by self)
020799;Vehicles, n.e.c.
0207;Vehicles
020801;Appliance, tool, and toy set-up, repair, & maintenance (by self)
020899;Appliances and tools, n.e.c.
0208;Appliances, Tools, and Toys
020901;Financial management
020902;Household & personal organization and planning
020903;HH & personal mail & messages (except e-mail)
020904;HH & personal e-mail and messages
020905;Home security
020999;Household management, n.e.c.
0209;Household Management
029999;Household activities, n.e.c.
0299;Household activities, n.e.c.
02;Household Activities
030101;Physical care for HH children
030102;Reading to/with HH children
030103;Playing with HH children, not sports
030104;Arts and crafts with HH children
030105;Playing sports with HH children
030108;Organization & planning for HH children
030109;Looking after HH children (as a primary activity)
030110;Attending HH children's events
030111;Waiting for/with HH children
030112;Picking up/dropping off HH children
030186;Talking with/listening to HH children
030199;Caring for & helping HH children, n.e.c.
0301;Caring For & Helping HH Children
030201;Homework (HH children)
030202;Meetings and school conferences (HH children)
030203;Home schooling of HH children
030204;Waiting associated with HH children's education
030299;Activities related to HH child's education, n.e.c.
0302;Activities Related to HH Children's Education
030301;Providing medical care to HH children
030302;Obtaining medical care for HH children
030303;Waiting associated with HH children's health
030399;Activities related to HH child's health, n.e.c.
0303;Activities Related to HH Children's Health
030401;Physical care for HH adults
030402;Looking after HH adult (as a primary activity)
030403;Providing medical care to HH adult
030404;Obtaining medical and care services for HH adult
030405;Waiting associated with caring for household adults
030499;Caring for household adults, n.e.c.
0304;Caring for Household Adults
030501;Helping HH adults
030502;Organization & planning for HH adults
030503;Picking up/dropping off HH adult
030504;Waiting associated with helping HH adults
030599;Helping household adults, n.e.c.
0305;Helping Household Adults
039999;Caring for & helping HH members, n.e.c.
0399;Caring For & Helping NonHH Members
03;Caring For & Helping Household (HH) Members
040101;Physical care for NonHH children
040102;Reading to/with NonHH children
040103;Playing with NonHH children, not sports
040104;Arts and crafts with NonHH children
040105;Playing sports with NonHH children
040108;Organization & planning for NonHH children
040109;Looking after NonHH children (as primary activity)
040110;Attending NonHH children's events
040111;Waiting for/with NonHH children
040112;Dropping off/picking up NonHH children
040186;Talking with/listening to NonHH children
040199;Caring for and helping NonHH children, n.e.c.
0401;Caring for & Helping Nonhousehold Children
040201;Homework (NonHH children)
040202;Meetings and school conferences (NonHH children)
040203;Home schooling of NonHH children
040204;Waiting associated with NonHH children's education
040299;Activities related to NonHH child's educ., n.e.c.
0402;Activities Related to NonHH Children's Education
040301;Providing medical care to NonHH children
040302;Obtaining medical care for NonHH children
